#gene	(mean normalized control expression)	(median normalized control expression)	(mean normalized treatment expression)	(median normalized treatment expression)	(logFoldChange)
Gene6	0.007312	0.006691	0.006524	0.005767	-0.164431
Gene7	0.302844	0.304691	0.275303	0.275492	-0.137555
Gene8	0.045130	0.045978	0.044032	0.044425	-0.035539
Gene4	0.113736	0.114255	0.112166	0.111118	-0.020050
Gene2	0.276349	0.276806	0.276378	0.275547	0.000149
Gene3	0.051143	0.051672	0.051231	0.051679	0.002468
Gene10	0.107161	0.106761	0.107637	0.107596	0.006395
Gene5	0.069337	0.069550	0.070073	0.069482	0.015238
Gene1	0.008620	0.008181	0.010421	0.010461	0.273733
Gene9	0.018367	0.018603	0.046235	0.045187	1.331832
